分析項目,103年國中學生目前吸電子煙率(%),104年國中學生目前吸電子煙率(%),105年國中學生目前吸電子煙率(%),106年國中學生目前吸電子煙率(%),103年國中男性學生目前吸電子煙率(%),104年國中男性學生目前吸電子煙率(%),105年國中男性學生目前吸電子煙率(%),106年國中男性學生目前吸電子煙率(%),103年國中女性學生目前吸電子煙率(%),104年國中女性學生目前吸電子煙率(%),105年國中女性學生目前吸電子煙率(%),106年國中女性學生目前吸電子煙率(%)
整體,2,3,3.7,2.5,2.4,4,4.9,3.3,1.6,1.8,2.5,1.6
年級別=一年級,1.5,2.2,2.6,1.8,1.5,2.8,3.3,2,1.3,1.6,1.9,1.4
年級別=二年級,2.1,3.3,4.1,3,2.9,4.3,5.4,4.3,1.3,2.1,2.7,1.5
年級別=三年級,2.4,3.4,4.2,2.6,2.6,5.1,5.5,3.4,2,1.6,2.7,1.7
縣市別=台北市,0.9,1.8,1.9,1.8,0.6,2.7,2.1,2.8,1.2,0.8,1.6,0.7
縣市別=基隆市,2.2,2,4.3,2.4,1.8,2.5,6.4,2.8,2.7,1.4,2,2
縣市別=原台中市,1.7,1.5,3,0.6,2.1,1.3,2.9,1,1.2,1.7,3,0.3
縣市別=原台南市,1.5,2.5,3.1,2.4,2,3.1,4,2.9,0.9,1.8,2,1.8
縣市別=原高雄市,2.3,3,2.1,1.3,3.1,3.3,3.1,1.1,1.4,2.7,1,1.6
縣市別=新竹市,1,1.3,2.7,2.3,1.7,2,3.5,3.3,0.3,0.4,1.9,1.2
縣市別=嘉義市,1.4,4.8,3.8,2.8,2.2,5,5.4,4.1,0.6,4.5,2.2,1
縣市別=宜蘭縣,2.5,2.2,3.7,2.5,2.7,2.6,4.4,4.4,2.2,1.7,2.9,0.3
縣市別=新北市,2.9,3.7,4.3,2.9,3.8,5.8,5.9,4.5,2,1.5,2.3,1.1
縣市別=桃園市,2.5,2.4,4.9,2.5,2.9,3,5.3,3.1,2,1.8,4.5,1.8
縣市別=新竹縣,2.6,3.8,6.1,4.1,3.5,4.6,8.4,5.3,1.6,2.9,3.5,2.9
縣市別=苗栗縣,1.5,2.3,4.7,2.1,2.1,3,6.3,2.3,0.9,1.6,2.3,1.6
縣市別=原台中縣,1.2,2.3,2.4,3.1,1.8,3.2,2.6,3.3,0.4,1.2,2.3,2.9
縣市別=彰化縣,0.6,1,3.1,1.5,0.2,1.5,4.6,2,1,0.5,1.4,1
縣市別=南投縣,2.5,4.5,4.9,2.9,2.7,6.4,6.7,4,2.2,2.5,2.8,1.7
縣市別=雲林縣,1.5,2,6.4,3.1,1.2,3.3,9.7,4,1.8,0.5,2.7,2.1
縣市別=嘉義縣,2,4.9,3.8,2,2.7,6.7,5,2.1,1.2,2.6,2.4,1.8
縣市別=原台南縣,2.6,3,4.1,3.1,2.7,4.2,6.6,3.1,2.5,1.6,1.4,2.7
縣市別=原高雄縣,2.8,4.5,4,1.7,2.8,6.9,5.4,2.3,2.9,1.8,2.4,1.1
縣市別=屏東縣,2,5.6,5.9,5.8,2.4,6.8,7.4,7.8,1.2,4.3,4,2.7
縣市別=台東縣,2.3,9.6,5,5.2,2.4,13.8,5.3,6.1,2.3,5.2,4.8,4.3
縣市別=花蓮縣,2.6,7.6,3.7,3.1,3.5,9.5,3.8,3.4,1.7,5.6,3.1,2.7
縣市別=澎湖縣,1.2,3.6,1.7,3.8,1.5,3.9,2.6,5.1,1,3.1,0.6,2.4
縣市別=金門縣,2.2,2.8,3.2,4.3,3.7,4.1,4.1,4.5,0.7,1.5,1.8,3.7
縣市別=連江縣,1.4,0.3,3.6,0.8,1.5,0.6,3.3,0.8,1.2,0,4,0.9
縣市別=台中市,1.4,1.9,2.7,2.1,2,2.4,2.7,2.4,0.8,1.4,2.6,1.8
縣市別=台南市,2.1,2.6,3.7,2.7,2.4,3.5,5.4,3,1.7,1.7,1.7,2.3
縣市別=高雄市,2.5,3.7,2.9,1.5,2.9,4.9,4.1,1.6,2.2,2.2,1.6,1.4
